DATE,MRTSSM451211USN
1992/1/1,790
1992/2/1,539
1992/3/1,535
1992/4/1,523
1992/5/1,552
1992/6/1,589
1992/7/1,592
1992/8/1,894
1992/9/1,861
1992/10/1,645
1992/11/1,642
1992/12/1,1165
1993/1/1,998
1993/2/1,568
1993/3/1,602
1993/4/1,583
1993/5/1,612
1993/6/1,618
1993/7/1,607
1993/8/1,983
1993/9/1,903
1993/10/1,669
1993/11/1,692
1993/12/1,1273
1994/1/1,1053
1994/2/1,635
1994/3/1,634
1994/4/1,610
1994/5/1,684
1994/6/1,724
1994/7/1,678
1994/8/1,1154
1994/9/1,1022
1994/10/1,732
1994/11/1,772
1994/12/1,1409
1995/1/1,1308
1995/2/1,718
1995/3/1,695
1995/4/1,688
1995/5/1,785
1995/6/1,808
1995/7/1,782
1995/8/1,1248
1995/9/1,1102
1995/10/1,746
1995/11/1,850
1995/12/1,1466
1996/1/1,1373
1996/2/1,757
1996/3/1,743
1996/4/1,750
1996/5/1,853
1996/6/1,838
1996/7/1,786
1996/8/1,1359
1996/9/1,1040
1996/10/1,899
1996/11/1,908
1996/12/1,1599
1997/1/1,1558
1997/2/1,825
1997/3/1,813
1997/4/1,806
1997/5/1,894
1997/6/1,875
1997/7/1,830
1997/8/1,1301
1997/9/1,1158
1997/10/1,923
1997/11/1,994
1997/12/1,1765
1998/1/1,1463
1998/2/1,921
1998/3/1,882
1998/4/1,854
1998/5/1,919
1998/6/1,939
1998/7/1,881
1998/8/1,1385
1998/9/1,1246
1998/10/1,953
1998/11/1,990
1998/12/1,1849
1999/1/1,1514
1999/2/1,990
1999/3/1,976
1999/4/1,933
1999/5/1,976
1999/6/1,1031
1999/7/1,1023
1999/8/1,1386
1999/9/1,1240
1999/10/1,1019
1999/11/1,1088
1999/12/1,1996
2000/1/1,1505
2000/2/1,1090
2000/3/1,1031
2000/4/1,975
2000/5/1,1104
2000/6/1,1122
2000/7/1,1048
2000/8/1,1594
2000/9/1,1406
2000/10/1,1014
2000/11/1,1098
2000/12/1,1892
2001/1/1,1585
2001/2/1,1070
2001/3/1,1062
2001/4/1,934
2001/5/1,1070
2001/6/1,1077
2001/7/1,1005
2001/8/1,1820
2001/9/1,1406
2001/10/1,1015
2001/11/1,1098
2001/12/1,1956
2002/1/1,1971
2002/2/1,1000
2002/3/1,1008
2002/4/1,966
2002/5/1,1116
2002/6/1,1045
2002/7/1,1038
2002/8/1,1797
2002/9/1,1490
2002/10/1,997
2002/11/1,1059
2002/12/1,1950
2003/1/1,2056
2003/2/1,991
2003/3/1,925
2003/4/1,975
2003/5/1,1107
2003/6/1,1181
2003/7/1,1128
2003/8/1,2139
2003/9/1,1572
